=== COMMON SINEs ver.1SeqID	SINE_ID_1	Start_1	Stop_1	Orientation_1	Length_1	SINE_ID_2	Start_2	Stop_2	Orientation_2	Length_2
DS571174	223	98026	97507	-	520
DS571603	177	739	1323	+	585
DS571276	189	17704	18169	+	466
DS571366	314	21421	20852	-	570
DS571234	341	29270	28710	-	561
DS571362	323	23796	23204	-	593
DS571193	278	3194	2684	-	511
DS571979	174	698	1191	+	494
DS571833	280	909	374	-	536
DS571444	375	5237	4600	-	638
DS571336	283	3533	3050	-	484
DS571145	231	332477	331932	-	546
DS571299	299	757	178	-	580
DS571214	212	15165	14617	-	549
DS572184	392	1633	1069	-	565
DS571537	252	10595	10097	-	499
DS571748	405	1647	1060	-	588
DS571597	279	5977	5451	-	527
DS571321	309	10950	10359	-	592
DS571321	337	31870	31304	-	567
DS571562	322	9616	9099	-	518
DS571364	269	15757	15235	-	523
DS571893	376	1571	1112	-	460
DS571427	368	3754	3110	-	645
DS571540	384	11089	10598	-	492
DS571317	317	32392	31800	-	593
DS572187	373	1218	762	-	457
DS571251	201	32834	33406	+	573
DS571154	192	134019	134504	+	486
DS571154	329	134928	134421	-	508
DS571325	256	7054	6533	-	522
DS571675	336	2982	2491	-	492
DS572303	380	624	142	-	483
DS571245	168	49543	50046	+	504
DS571245	266	48867	48336	-	532
DS571372	240	19793	19246	-	548
DS571620	325	3253	2667	-	587
DS571423	224	1030	483	-	548
DS571437	397	13875	13251	-	625
DS571338	263	29868	29347	-	522
DS571166	310	3013	2425	-	589
DS571419	294	11962	11446	-	517
DS571225	362	3147	2664	-	484
DS571633	202	3020	3473	+	454
DS571282	247	5008	4493	-	516
DS571534	399	7940	7351	-	590
DS571451	203	3493	2943	-	551
DS571529	333	2271	1676	-	596
DS572664	331	830	359	-	472
DS572070	370	589	114	-	476
DS572593	219	697	150	-	548
DS571683	379	619	157	-	463
DS571219	268	15122	14577	-	546
DS571208	318	64860	64295	-	566
DS571255	209	5733	5183	-	551
DS571255	265	2937	2416	-	522
DS571255	274	48085	47566	-	520
DS571195	386	855	376	-	480
DS571737	361	4624	4023	-	602
DS571593	179	609	1218	+	610
DS571196	402	1102	636	-	467
DS571508	206	4500	3954	-	547
DS571743	293	1960	1433	-	528
DS571382	220	18914	18367	-	548
DS571280	300	7895	7331	-	565
DS571499	342	10454	9868	-	587
DS572199	365	879	365	-	515
DS571346	243	26099	25553	-	547
DS571584	321	2754	2164	-	591
DS571751	343	4108	3539	-	570
DS571470	367	14914	14440	-	475
DS571301	184	17332	17938	+	607
DS571828	401	3562	3038	-	525
DS571589	396	7806	7340	-	467
DS571542	369	5445	4931	-	515
DS571803	259	802	312	-	491
DS571761	282	1137	635	-	503
DS571310	228	11751	11204	-	548
DS571200	211	49133	48532	-	602
DS571153	295	99329	98749	-	581
DS572130	372	675	210	-	466
DS571769	339	3306	2740	-	567
DS571552	255	1577	1057	-	521
DS572205	374	1348	888	-	461
DS571180	197	28996	29617	+	622
DS571266	353	17647	17151	-	497
DS571206	245	8015	7495	-	521
DS571206	251	69215	68717	-	499
DS571206	258	4850	4329	-	522
DS571498	338	11653	11136	-	518
