=== COMMON SINEs ===
SeqID	Orientation1	Start1	Stop1	SINEID1	Orientation2	Start2	Stop2	SINEID2	%Overlap
DS571255	-	48085	47566	520	274
DS571934	-	1562	990	573	320
DS571179	-	51324	50814	511	277
DS571179	-	17800	17223	578	316
DS571534	-	7940	7351	590	399
DS571570	-	7522	6990	533	271
DS571312	-	17550	16976	575	204
DS571312	-	3954	3435	520	284
DS571312	-	33286	32707	580	313
DS571290	-	39436	38950	487	351
DS571405	-	17772	17230	543	330
DS572142	+	1214	1723	510	171
DS571186	-	65902	65382	521	239
DS571444	-	5237	4600	638	375
DS571333	-	27411	26889	523	289
DS571803	-	802	312	491	259
DS571340	-	29269	28681	589	324
DS571195	-	855	376	480	386
DS571660	-	757	270	488	335
DS571868	+	2793	3253	461	165
DS571868	-	950	490	461	355
DS572205	-	1348	888	461	374
DS571650	-	3409	2881	529	332
DS571675	-	2982	2491	492	336
DS571202	-	70002	69413	590	315
DS571166	-	3013	2425	589	310
DS571245	+	49543	50046	504	168
DS571245	-	48867	48336	532	266
DS571490	+	3375	3860	486	191
DS571154	-	134928	134421	508	329
DS571593	+	609	1218	610	179
DS571364	-	15757	15235	523	269
DS571529	-	2271	1676	596	333
DS571743	-	1960	1433	528	293
DS571380	-	2811	2221	591	390
DS571437	-	13875	13251	625	397
DS571250	-	22245	21673	573	215
DS571250	-	42224	41651	574	222
DS571206	-	8015	7495	521	245
DS571206	-	69215	68717	499	251
DS571206	-	4850	4329	522	258
DS571343	+	28648	29099	452	185
DS571664	-	713	194	520	270
DS571147	-	112278	111732	547	230
